Timestamp,Email Address,Name,Address: where will you be coming from?,What is the earliest you can leave?,Do you *need* to arrive by 7:30?,How many seats are there in your car?,Do you *have* to drive yourself?
4/8/2017 1:25:51,zsiegel92@gmail.com,Zach,"153 N New Hampshire Ave, LA, CA 90004",07:00:00 PM,No,4,No
4/8/2017 1:25:52,zsiegel92@gmail.com,Jonah,"3103 Livonia Ave, LA, CA 90034",06:30:00 PM,Yes,2,No
4/8/2017 1:25:53,zsiegel92@gmail.com,Danit,"1131 Elden Avenue, Los Angeles, CA 90006",06:30:00 PM,No,0,No
4/8/2017 1:25:54,zsiegel92@gmail.com,David,"3560 Hughes Ave
Los Angeles, CA 90034",07:00:00 PM,No,0,No
4/8/2017 1:25:55,zsiegel92@gmail.com,Michal,"3970 Sepulveda Blvd, Culver City, CA 90230",06:30:00 PM,Yes,0,No
4/8/2017 1:25:56,zsiegel92@gmail.com,Maxwell,"3970 Sepulveda Blvd, Culver City, CA 90230",06:30:00 PM,No,0,No
4/8/2017 1:25:57,zsiegel92@gmail.com,Eli,"5922 N Figueroa St, Los Angeles, CA 90042",06:30:00 PM,No,4,No
4/8/2017 1:25:58,zsiegel92@gmail.com,Erin,"3759 W 27th St, Los Angeles, CA 90018-2309",06:30:00 PM,No,4,Yes
4/8/2017 1:25:59,zsiegel92@gmail.com,Guthrie,"3759 W 27th St, Los Angeles, CA 90018-2309",06:30:00 PM,Yes,0,No
4/8/2017 1:25:60,zsiegel92@gmail.com,Socket,"1829 7th St, Santa Monica, CA 90401",06:30:00 PM,No,0,No
4/8/2017 1:25:61,zsiegel92@gmail.com,Nate,"2559 Ocean Front Walk, Santa Monica, CA 90401",06:30:00 PM,No,4,No
4/8/2017 1:25:62,zsiegel92@gmail.com,Tali,"3640 S Sepulveda Blvd
Los Angeles, CA 90034",06:30:00 PM,No,0,Yes
4/8/2017 1:25:63,zsiegel92@gmail.com,Elana,"8339 W 3rd St, Los Angeles, CA 90048",06:30:00 PM,No,4,No
4/8/2017 1:25:63,zsiegel92@gmail.com,Shay,"4207 Lockwood Ave
Los Angeles, CA 90029",07:00:00 PM,No,4,No
